trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.918, 'e': 0.0005372246674421159}",25,18,13.353754545647288,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.918, 'e': 0.0004931722447118625}",20,0,31.034918564926286,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.918, 'e': 0.00045273212064548976}",25,8,32.44119556902544,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.918, 'e': 0.0004156080867525596}",30,20,20.58283380556233,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.918, 'e': 0.00038152822363884975}",20,14,10.687027896996552,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.918, 'e': 0.00035024290930046404}",30,17,18.427671910519262,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.918, 'e': 0.000321522990737826}",25,10,27.529875840550652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.918, 'e': 0.0002951581054973243}",25,6,31.017547397508398,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.918, 'e': 0.0002709551408465437}",25,17,11.973785780968297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.918, 'e': 0.00024873681929712716}",25,11,29.373009691349043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.918, 'e': 0.00022834040011476272}",30,3,46.69236534021214,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.918, 'e': 0.0002096164873053522}",30,21,17.62820750927896,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.918, 'e': 0.00019242793534631332}",25,7,22.0324311108147,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.918, 'e': 0.00017664884464791564}",20,10,15.393855477544763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.918, 'e': 0.00016216363938678657}",20,12,13.230906749107303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.918, 'e': 0.00014886622095707007}",20,8,21.19927440209692,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.918, 'e': 0.00013665919083859034}",25,11,31.02462266504899,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.918, 'e': 0.00012545313718982594}",30,19,16.764080197979823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.918, 'e': 0.0001151659799402602}",30,16,23.264716428341224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.918, 'e': 0.00010572236958515888}",35,13,34.60626873823932,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.918, 'e': 9.705313527917585e-05}",20,14,11.962248626108558,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
